"Nº ONU (1)","Nome e Descrição (2)","Classe ou Subclasse de Risco (3)","Risco Subsi- diário (4)","Nº de Risco (5)","Grupo de Emb. (6)","Provisões Especiais (7)","Quant. Limitada por","","Embalagens e IBCs","","Tanques Portáteis e Contentores para Granéis",""
"","","","","","","","Veículo (kg) (8)","Emb. Interna (9)","Instrução para Emb. (10)","Provições Especiais (11)","Instru- ções (12)","Provisões Especiais (13)"
"0004","PICRATO DE AMÔNIO seco ou umedecido com menos de 10% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","PP26","",""
"0005","CARTUCHOS PARA ARMAS com carga de ruptura †","1.1F","","","","","20","ZERO","P130","","",""
"0006","CARTUCHOS PARA ARMAS com carga de ruptura †","1.1E","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0007","CARTUCHOS PARA ARMAS com carga de ruptura †","1.2F","","","","","20","ZERO","P130","","",""
"0009","MUNIÇÃO, INCENDIÁRIA com ou sem ruptor, carga ejetora ou carga propelente †","1.2G","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0010","MUNIÇÃO, INCENDIÁRIA com ou sem ruptor, carga ejetora ou carga propelente †","1.3G","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0012","CARTUCHOS PARA ARMAS, PROJÉTEIS INERTES ou CARTUCHOS, ARMAS PORTÁTEIS †","1.4S","","","","364","ILIMITADA","5 kg","P130","","",""
"0014","CARTUCHOS PARA ARMAS, FESTIM ou CARTUCHOS PARA ARMAS PORTÁTEIS, FESTIM ou CARTUCHOS PARA FERRAMENTAS, FESTIM †","1.4S","","","","364","ILIMITADA","5 Kg","P130","","",""
"0015","MUNIÇÃO, FUMÍGENA com ou sem ruptor, carga ejetora ou carga propelente †","1.2G","","","","204","20","ZERO","P130
LP101","PP67
L1","",""
"0016","MUNIÇÃO, FUMÍGENA com ou sem ruptor, carga ejetora ou carga propelente †","1.3G","","","","204","20","ZERO","P130
LP101","PP67
L1","",""
"0018","MUNIÇÃO, LACRIMOGÊNEA com ruptor, carga ejetora ou carga propelente †","1.2G","6.1
8","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0019","MUNIÇÃO, LACRIMOGÊNEA com ruptor, carga ejetora ou carga propelente †","1.3G","6.1
8","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0020","MUNIÇÃO, TÓXICA com ruptor, carga ejetora ou carga propelente †","1.2K","6.1","","","274","ZERO","ZERO","P101","","",""
"0021","MUNIÇÃO, TÓXICA com ruptor, carga ejetora ou carga propelente †","1.3K","6.1","","","274","ZERO","ZERO","P101","","",""
